2452116.77700 15.576 0.006 5.90 640.0
2452128.66294 15.570 0.005 3.96 760.0
2452131.63897 15.575 0.005 4.36 743.0
2452135.54878 15.587 0.005 4.04 669.0
2452138.69663 15.571 0.006 6.27 509.0
2452143.61768 15.578 0.005 4.51 627.0
2452162.60978 15.567 0.005 5.16 583.0
2452170.51603 15.575 0.005 4.49 656.0
2452173.58999 15.570 0.006 5.02 769.0
2452183.53291 15.575 0.006 6.26 946.0
2452184.58882 15.581 0.006 5.97 932.0
2452195.57081 15.581 0.006 5.03 1140.0
2452200.54505 15.571 0.006 4.83 1326.0
2452326.87646 15.573 0.006 5.72 765.0
2452346.81954 15.580 0.005 4.51 709.0
2452360.82984 15.570 0.005 3.60 822.0
2452371.78653 15.579 0.005 4.11 690.0
2452380.79103 15.587 0.006 6.22 542.0
2452384.76303 15.582 0.005 4.13 665.0
2452388.76663 15.579 0.005 5.01 724.0
2452390.73650 15.591 0.006 5.37 977.0
2452397.89483 15.582 0.005 4.08 872.0
2452401.69721 15.590 0.005 4.27 648.0
2452403.75846 15.589 0.005 3.55 597.0
2452410.79348 15.587 0.003 4.27 639.0
2452415.69578 15.591 0.006 5.03 763.0
2452417.77301 15.583 0.005 4.56 783.0
2452425.86003 15.579 0.006 5.68 856.0
2452431.70717 15.573 0.005 5.23 664.0
2452433.68208 15.582 0.005 4.72 634.0
2452434.82794 15.583 0.005 3.94 723.0
2452436.61723 15.580 0.005 4.12 778.0
2452438.63287 15.581 0.005 4.55 597.0
2452440.61424 15.584 0.005 4.28 620.0
2452443.64911 15.577 0.005 5.24 626.0
2452445.54422 15.566 0.006 4.91 915.0
2452452.61603 15.572 0.005 4.52 859.0
2452458.75200 15.575 0.005 5.10 521.0
2452462.66849 15.583 0.005 4.02 499.0
2452464.53586 15.572 0.006 5.21 795.0
2452467.46181 15.585 0.007 5.82 1920.0
2452469.47238 15.584 0.005 4.48 934.0
2452471.76286 15.583 0.005 4.21 650.0
2452473.46102 15.576 0.006 5.33 1568.0
2452483.51577 15.587 0.005 3.79 633.0
2452485.71051 15.586 0.006 6.81 619.0
2452490.49245 15.579 0.005 4.57 682.0
2452492.72894 15.560 0.007 6.63 859.0
2452495.51993 15.573 0.006 5.11 718.0
2452497.58098 15.603 0.005 3.85 540.0
2452499.61825 15.587 0.005 4.35 609.0
2452501.64515 15.599 0.005 4.03 633.0
2452503.59198 15.560 0.010 4.79 5704.0
2452511.62418 15.588 0.006 5.57 853.0
2452518.57497 15.583 0.005 4.53 623.0
2452521.57089 15.584 0.005 4.56 687.0
2452535.49993 15.569 0.006 5.67 851.0
2452539.59638 15.593 0.006 4.90 958.0
2452540.57449 15.580 0.006 5.75 1013.0
2452545.52638 15.576 0.005 4.09 807.0
2452550.56303 15.570 0.007 7.64 785.0
2452555.52547 15.570 0.006 5.27 858.0
2452561.54979 15.588 0.006 4.80 1417.0
2452701.88541 15.582 0.005 4.91 579.0
2452712.88261 15.581 0.005 4.74 582.0
2452727.84517 15.584 0.005 3.73 637.0
2452732.85910 15.579 0.006 5.38 592.0
2452743.85077 15.587 0.005 3.54 614.0
2452748.88249 15.583 0.007 6.01 1385.0
2452755.87323 15.578 0.005 5.17 682.0
2452759.86459 15.579 0.005 4.86 790.0
2452765.89102 15.581 0.005 4.75 785.0
2452769.93257 15.583 0.004 4.33 842.0
2452784.79775 15.577 0.005 4.08 566.0
2452786.68835 15.581 0.006 5.08 835.0
2452788.84028 15.578 0.004 4.30 790.0
2452790.88687 15.583 0.005 4.19 737.0
2452792.53916 15.580 0.007 6.96 820.0
2452794.68055 15.570 0.006 5.90 582.0
2452796.61795 15.581 0.005 3.29 601.0
2452802.67512 15.580 0.006 4.86 815.0
2452808.72260 15.578 0.006 4.73 826.0
2452810.64133 15.570 0.005 4.20 669.0
2452812.61827 15.573 0.005 4.18 791.0
2452815.64681 15.582 0.005 4.96 571.0
2452816.78195 15.586 0.006 5.38 625.0
2452817.79130 15.584 0.007 6.34 795.0
2452819.56609 15.593 0.005 3.82 866.0
2452821.55506 15.571 0.005 4.31 735.0
2452830.59072 15.573 0.007 5.29 2683.0
2452835.52265 15.573 0.006 4.55 1600.0
2452836.75073 15.589 0.006 4.22 1262.0
2452838.64704 15.576 0.006 5.36 684.0
2452840.57174 15.574 0.005 4.11 529.0
2452842.62203 15.570 0.004 4.87 656.0
2452844.68250 15.587 0.005 4.08 621.0
2452849.50739 15.576 0.006 5.43 851.0
2452853.62264 15.584 0.005 4.35 595.0
2452856.50045 15.582 0.006 4.91 724.0
2452858.47210 15.570 0.006 4.42 1562.0
2452859.53723 15.569 0.007 4.18 2251.0
2452860.59087 15.586 0.006 4.63 1578.0
2452863.67789 15.580 0.006 4.23 1212.0
2452867.58418 15.581 0.005 5.02 608.0
2452870.66241 15.576 0.005 3.93 685.0
2452874.65093 15.587 0.006 5.65 666.0
2452878.54303 15.590 0.005 3.57 607.0
2452884.61447 15.596 0.006 4.46 779.0
2452893.64224 15.595 0.005 3.42 931.0
2452896.50503 15.578 0.006 4.51 760.0
2452901.52059 15.577 0.005 5.36 794.0
2452906.64514 15.586 0.006 5.51 819.0
2452910.64012 15.574 0.007 6.77 950.0
2452912.62451 15.581 0.006 5.01 1000.0
2452924.54778 15.568 0.005 3.66 1076.0
2452934.56464 15.574 0.006 4.89 1040.0
2452942.52539 15.588 0.006 4.23 1290.0
2453048.86478 15.584 0.005 4.15 940.0
2453056.89746 15.577 0.006 5.16 1359.0
2453060.89891 15.584 0.005 4.36 970.0
