2452128.66294 19.799 0.124 4.09 780.0
2452131.63897 19.869 0.143 4.44 750.0
2452135.54878 19.849 0.115 3.94 667.0
2452143.61768 20.261 0.214 4.53 636.0
2452403.75846 19.870 0.106 3.50 585.0
2452433.68208 19.836 0.138 4.75 621.0
2452434.82794 19.707 0.111 3.90 726.0
2452492.72894 19.752 0.214 6.72 851.0
2452495.51993 19.927 0.173 5.12 704.0
2452497.58098 19.924 0.119 3.90 534.0
2452499.61825 19.933 0.135 4.35 603.0
2452501.64515 19.722 0.103 4.04 629.0
2452539.59638 20.097 0.211 4.86 958.0
2452540.57449 20.009 0.242 5.69 1007.0
2452555.52547 19.677 0.161 5.30 857.0
2452561.54979 19.698 0.186 4.74 1424.0
2452844.68250 20.097 0.140 3.82 622.0
2453544.68977 19.846 0.241 4.18 2351.0
2453547.72862 20.173 0.214 5.66 531.0
2453550.70435 19.673 0.080 3.48 497.0
2453554.57507 20.237 0.288 6.42 683.0
2453556.58362 19.855 0.140 5.12 534.0
2453558.55349 19.863 0.137 4.37 623.0
2453559.77008 19.614 0.085 4.00 490.0
2453560.74209 19.554 0.089 4.19 455.0
2453562.76630 20.016 0.125 3.69 547.0
2453563.51575 20.119 0.189 5.27 538.0
2453569.80314 19.794 0.186 4.90 1108.0
2453574.56492 20.133 0.165 4.08 584.0
2453574.72630 19.898 0.145 4.25 724.0
2453575.55339 19.884 0.099 3.28 547.0
2453576.51164 19.900 0.139 4.74 545.0
2453577.56402 19.600 0.091 4.37 450.0
2453578.53738 19.922 0.101 3.90 376.0
2453579.49574 20.163 0.144 4.19 472.0
2453580.51142 19.590 0.092 4.29 539.0
2453581.54114 19.934 0.133 4.08 566.0
2453583.53962 20.198 0.170 4.44 533.0
2453584.52576 20.114 0.144 4.46 444.0
2453585.51635 19.891 0.118 4.05 534.0
2453586.57467 19.935 0.111 3.48 463.0
2453587.63075 20.037 0.178 5.65 495.0
2453588.56729 20.041 0.139 4.42 500.0
2453589.52603 19.816 0.100 3.57 495.0
2453590.50608 19.825 0.107 4.08 496.0
2453591.55098 19.965 0.105 3.18 501.0
2453592.51737 19.880 0.120 3.81 586.0
2453593.61289 19.866 0.123 4.47 492.0
2453594.54825 19.807 0.098 4.49 470.0
2453600.54509 19.962 0.288 4.54 2403.0
2453601.47743 19.876 0.143 3.64 975.0
2453602.50246 19.891 0.195 5.39 812.0
2453607.51261 19.990 0.126 3.86 581.0
2453608.50418 20.388 0.291 6.12 541.0
2453617.55769 20.251 0.194 5.11 553.0
2453620.66137 19.944 0.128 4.51 489.0
2453632.53197 19.632 0.138 4.77 813.0
2453634.59524 19.799 0.134 4.65 612.0
2453640.57568 19.883 0.136 4.94 513.0
2453646.50323 19.427 0.122 6.06 666.0
2453653.52272 19.907 0.217 4.05 1662.0
2453773.87919 19.818 0.168 5.24 784.0
2453779.88442 19.813 0.164 4.90 966.0
2453786.83554 19.674 0.135 4.56 879.0
2453790.83076 20.047 0.190 3.95 1035.0
2453793.82076 20.144 0.177 4.11 825.0
